Date,num_of_date,Deaths,Date_test,num_of_date_test,Deaths_test
2020-03-02,1,6,2020-03-18,17,171
2020-03-03,2,9,2020-03-24,23,957
2020-03-04,3,11,2020-04-01,31,6394
2020-03-05,4,12,2020-04-11,41,23843
2020-03-06,5,14,2020-04-22,52,47894
2020-03-07,6,17,2020-04-28,58,59266
2020-03-08,7,21,2020-04-05,35,11793
2020-03-09,8,22,2020-04-16,46,34619
2020-03-10,9,30,,,
2020-03-11,10,36,,,
2020-03-12,11,40,,,
2020-03-13,12,47,,,
2020-03-14,13,54,,,
2020-03-15,14,73,,,
2020-03-16,15,95,,,
2020-03-17,16,121,,,
2020-03-19,18,239,,,
2020-03-20,19,309,,,
2020-03-21,20,374,,,
2020-03-22,21,509,,,
2020-03-23,22,689,,,
2020-03-25,24,1260,,,
2020-03-26,25,1614,,,
2020-03-27,26,2110,,,
2020-03-28,27,2754,,,
2020-03-29,28,3251,,,
2020-03-30,29,3948,,,
2020-03-31,30,5027,,,
2020-04-02,32,7438,,,
2020-04-03,33,8694,,,
2020-04-04,34,10231,,,
2020-04-06,36,13128,,,
2020-04-07,37,15347,,,
2020-04-08,38,17503,,,
2020-04-09,39,19604,,,
2020-04-10,40,21830,,,
2020-04-12,42,25558,,,
2020-04-13,43,27272,,,
2020-04-14,44,29825,,,
2020-04-15,45,32443,,,
2020-04-17,47,37147,,,
2020-04-18,48,39014,,,
2020-04-19,49,40575,,,
2020-04-20,50,42853,,,
2020-04-21,51,45536,,,
2020-04-23,53,50236,,,
2020-04-24,54,52191,,,
2020-04-25,55,54256,,,
2020-04-26,56,55412,,,
2020-04-27,57,56796,,,
2020-04-29,59,61655,,,
2020-04-30,60,63856,,,