Date,num_of_date,num_of_patients,Date_test,num_of_date_test,num_of_patients_test
2020-01-21,1,1,2020-02-05,16,11
2020-01-22,2,1,2020-02-16,27,13
2020-01-23,3,1,2020-02-22,33,15
2020-01-24,4,2,2020-02-27,38,58
2020-01-25,5,2,2020-03-03,43,118
2020-01-26,6,5,2020-03-05,45,217
2020-01-27,7,5,2020-03-12,52,1663
2020-01-28,8,5,2020-03-23,63,43847
2020-01-29,9,5,2020-03-30,70,161807
2020-01-30,10,5,2020-04-05,76,312237
2020-01-31,11,7,2020-04-10,80,460252
2020-02-01,12,8,2020-04-19,89,657996
2020-02-02,13,8,,,
2020-02-03,14,11,,,
2020-02-04,15,11,,,
2020-02-06,17,11,,,
2020-02-07,18,11,,,
2020-02-08,19,11,,,
2020-02-09,20,11,,,
2020-02-10,21,11,,,
2020-02-11,22,12,,,
2020-02-12,23,12,,,
2020-02-13,24,13,,,
2020-02-14,25,13,,,
2020-02-15,26,13,,,
2020-02-17,28,13,,,
2020-02-18,29,13,,,
2020-02-19,30,13,,,
2020-02-20,31,13,,,
2020-02-21,32,15,,,
2020-02-23,34,15,,,
2020-02-24,35,51,,,
2020-02-25,36,51,,,
2020-02-26,37,57,,,
2020-02-28,39,60,,,
2020-02-29,40,68,,,
2020-03-01,41,74,,,
2020-03-02,42,98,,,
2020-03-04,44,149,,,
2020-03-06,46,262,,,
2020-03-07,47,402,,,
2020-03-08,48,518,,,
2020-03-09,49,583,,,
2020-03-10,50,959,,,
2020-03-11,51,1281,,,
2020-03-13,53,2179,,,
2020-03-14,54,2727,,,
2020-03-15,55,3499,,,
2020-03-16,56,4632,,,
2020-03-17,57,6421,,,
2020-03-18,58,7783,,,
2020-03-19,59,13677,,,
2020-03-20,60,19100,,,
2020-03-21,61,25489,,,
2020-03-22,62,33276,,,
2020-03-24,64,53740,,,
2020-03-25,65,65778,,,
2020-03-26,66,83836,,,
2020-03-27,67,101657,,,
2020-03-28,68,121478,,,
2020-03-29,69,140886,,,
2020-03-31,71,188172,,,
2020-04-01,72,213372,,,
2020-04-02,73,243453,,,
2020-04-03,74,275586,,,
2020-04-04,75,307965,,,
2020-04-06,77,337635,,,
2020-04-08,78,397816,,,
2020-04-09,79,426484,,,
2020-04-11,81,485427,,,
2020-04-12,82,509285,,,
2020-04-13,83,530230,,,
2020-04-14,84,553052,,,
2020-04-15,85,571061,,,
2020-04-16,86,590041,,,
2020-04-17,87,616864,,,
2020-04-18,88,636301,,,
2020-04-20,90,682985,,,
2020-04-21,91,695873,,,
2020-04-22,92,722598,,,
2020-04-23,93,750284,,,
2020-04-24,94,762609,,,
2020-04-25,95,788233,,,